participant,item_type,sentence_num,cond,word_num,word,RT,full_sentence
Par_A,DashedSentence,2,practice,1,This,180,This is a practice sentence.
Par_A,DashedSentence,2,practice,2,is,177,This is a practice sentence.
Par_A,DashedSentence,2,practice,3,a,181,This is a practice sentence.
Par_A,DashedSentence,2,practice,4,practice,181,This is a practice sentence.
Par_A,DashedSentence,2,practice,5,sentence.,178,This is a practice sentence.
Par_A,DashedSentence,3,cond_A,1,A,156,A sentence that has a relative clause.
Par_A,DashedSentence,3,cond_A,2,sentence,135,A sentence that has a relative clause.
Par_A,DashedSentence,3,cond_A,3,that,135,A sentence that has a relative clause.
Par_A,DashedSentence,3,cond_A,4,has,158,A sentence that has a relative clause.
Par_A,DashedSentence,3,cond_A,5,a,158,A sentence that has a relative clause.
Par_A,DashedSentence,3,cond_A,6,relative,157,A sentence that has a relative clause.
Par_A,DashedSentence,3,cond_A,7,clause.,181,A sentence that has a relative clause.
Par_A,DashedSentence,5,cond_A,1,This,202,This is a sentence about cats.
Par_A,DashedSentence,5,cond_A,2,is,181,This is a sentence about cats.
Par_A,DashedSentence,5,cond_A,3,a,160,This is a sentence about cats.
Par_A,DashedSentence,5,cond_A,4,sentence,177,This is a sentence about cats.
Par_A,DashedSentence,5,cond_A,5,about,160,This is a sentence about cats.
Par_A,DashedSentence,5,cond_A,6,cats.,180,This is a sentence about cats.
Par_A,DashedSentence,4,cond_B,1,A,112,A sentence that doesn't.
Par_A,DashedSentence,4,cond_B,2,sentence,135,A sentence that doesn't.
Par_A,DashedSentence,4,cond_B,3,that,136,A sentence that doesn't.
Par_A,DashedSentence,4,cond_B,4,doesn't.,134,A sentence that doesn't.
Par_B,DashedSentence,2,practice,1,This,200,This is a practice sentence.
Par_B,DashedSentence,2,practice,2,is,143,This is a practice sentence.
Par_B,DashedSentence,2,practice,3,a,164,This is a practice sentence.
Par_B,DashedSentence,2,practice,4,practice,188,This is a practice sentence.
Par_B,DashedSentence,2,practice,5,sentence.,190,This is a practice sentence.
Par_B,DashedSentence,3,cond_A,1,A,125,A sentence that has a relative clause.
