X1,participant,item_type,sentence_num,cond,word,RT,full_sentence
1,Par_A,DashedSentence,4,cond_A_cat,Mary,193,Mary saw a beautiful Siamese cat on her way home from work.
2,Par_A,DashedSentence,4,cond_A_cat,saw,228,Mary saw a beautiful Siamese cat on her way home from work.
3,Par_A,DashedSentence,4,cond_A_cat,a,217,Mary saw a beautiful Siamese cat on her way home from work.
4,Par_A,DashedSentence,4,cond_A_cat,beautiful,172,Mary saw a beautiful Siamese cat on her way home from work.
5,Par_A,DashedSentence,4,cond_A_cat,Siamese,172,Mary saw a beautiful Siamese cat on her way home from work.
6,Par_A,DashedSentence,4,cond_A_cat,cat,97,Mary saw a beautiful Siamese cat on her way home from work.
7,Par_A,DashedSentence,4,cond_A_cat,on,213,Mary saw a beautiful Siamese cat on her way home from work.
8,Par_A,DashedSentence,4,cond_A_cat,her,248,Mary saw a beautiful Siamese cat on her way home from work.
9,Par_A,DashedSentence,4,cond_A_cat,way,200,Mary saw a beautiful Siamese cat on her way home from work.
10,Par_A,DashedSentence,4,cond_A_cat,home,291,Mary saw a beautiful Siamese cat on her way home from work.
11,Par_A,DashedSentence,4,cond_A_cat,from,142,Mary saw a beautiful Siamese cat on her way home from work.
12,Par_A,DashedSentence,4,cond_A_cat,work,185,Mary saw a beautiful Siamese cat on her way home from work.
13,Par_A,DashedSentence,5,cond_A_cat,Joshua,172,Joshua said that purring cats are one of the most relaxing things to him.
14,Par_A,DashedSentence,5,cond_A_cat,said,279,Joshua said that purring cats are one of the most relaxing things to him.
15,Par_A,DashedSentence,5,cond_A_cat,that,284,Joshua said that purring cats are one of the most relaxing things to him.
16,Par_A,DashedSentence,5,cond_A_cat,purring,172,Joshua said that purring cats are one of the most relaxing things to him.
17,Par_A,DashedSentence,5,cond_A_cat,cats,285,Joshua said that purring cats are one of the most relaxing things to him.
18,Par_A,DashedSentence,5,cond_A_cat,are,206,Joshua said that purring cats are one of the most relaxing things to him.
19,Par_A,DashedSentence,5,cond_A_cat,one,277,Joshua said that purring cats are one of the most relaxing things to him.
20,Par_A,DashedSentence,5,cond_A_cat,of,279,Joshua said that purring cats are one of the most relaxing things to him.
21,Par_A,DashedSentence,5,cond_A_cat,the,149,Joshua said that purring cats are one of the most relaxing things to him.
22,Par_A,DashedSentence,5,cond_A_cat,most,189,Joshua said that purring cats are one of the most relaxing things to him.
23,Par_A,DashedSentence,5,cond_A_cat,relaxing,172,Joshua said that purring cats are one of the most relaxing things to him.
24,Par_A,DashedSentence,5,cond_A_cat,things,172,Joshua said that purring cats are one of the most relaxing things to him.
25,Par_A,DashedSentence,5,cond_A_cat,to,113,Joshua said that purring cats are one of the most relaxing things to him.
26,Par_A,DashedSentence,5,cond_A_cat,him,205,Joshua said that purring cats are one of the most relaxing things to him.
27,Par_A,DashedSentence,6,cond_A_cat,There,172,There was a contented cat looking out from the bookstore window.
28,Par_A,DashedSentence,6,cond_A_cat,was,180,There was a contented cat looking out from the bookstore window.
29,Par_A,DashedSentence,6,cond_A_cat,a,194,There was a contented cat looking out from the bookstore window.
30,Par_A,DashedSentence,6,cond_A_cat,contented,172,There was a contented cat looking out from the bookstore window.
31,Par_A,DashedSentence,6,cond_A_cat,cat,95,There was a contented cat looking out from the bookstore window.
32,Par_A,DashedSentence,6,cond_A_cat,looking,172,There was a contented cat looking out from the bookstore window.
33,Par_A,DashedSentence,6,cond_A_cat,out,253,There was a contented cat looking out from the bookstore window.
34,Par_A,DashedSentence,6,cond_A_cat,from,124,There was a contented cat looking out from the bookstore window.
35,Par_A,DashedSentence,6,cond_A_cat,the,167,There was a contented cat looking out from the bookstore window.
36,Par_A,DashedSentence,6,cond_A_cat,bookstore,172,There was a contented cat looking out from the bookstore window.
37,Par_A,DashedSentence,6,cond_A_cat,window,172,There was a contented cat looking out from the bookstore window.
38,Par_A,DashedSentence,7,cond_A_cat,The,122,The child told me that ginger cats are by far the cutest of them all.
39,Par_A,DashedSentence,7,cond_A_cat,child,172,The child told me that ginger cats are by far the cutest of them all.
40,Par_A,DashedSentence,7,cond_A_cat,told,226,The child told me that ginger cats are by far the cutest of them all.
41,Par_A,DashedSentence,7,cond_A_cat,me,205,The child told me that ginger cats are by far the cutest of them all.
42,Par_A,DashedSentence,7,cond_A_cat,that,292,The child told me that ginger cats are by far the cutest of them all.
43,Par_A,DashedSentence,7,cond_A_cat,ginger,172,The child told me that ginger cats are by far the cutest of them all.
44,Par_A,DashedSentence,7,cond_A_cat,cats,311,The child told me that ginger cats are by far the cutest of them all.
45,Par_A,DashedSentence,7,cond_A_cat,are,197,The child told me that ginger cats are by far the cutest of them all.
46,Par_A,DashedSentence,7,cond_A_cat,by,157,The child told me that ginger cats are by far the cutest of them all.
47,Par_A,DashedSentence,7,cond_A_cat,far,277,The child told me that ginger cats are by far the cutest of them all.
48,Par_A,DashedSentence,7,cond_A_cat,the,161,The child told me that ginger cats are by far the cutest of them all.
49,Par_A,DashedSentence,7,cond_A_cat,cutest,172,The child told me that ginger cats are by far the cutest of them all.
50,Par_A,DashedSentence,7,cond_A_cat,of,236,The child told me that ginger cats are by far the cutest of them all.
51,Par_A,DashedSentence,7,cond_A_cat,them,172,The child told me that ginger cats are by far the cutest of them all.
52,Par_A,DashedSentence,7,cond_A_cat,all,172,The child told me that ginger cats are by far the cutest of them all.
53,Par_A,DashedSentence,8,cond_A_cat,A,201,A large tom cat was often seen hanging out near the butcher shop.
54,Par_A,DashedSentence,8,cond_A_cat,large,172,A large tom cat was often seen hanging out near the butcher shop.
55,Par_A,DashedSentence,8,cond_A_cat,tom,148,A large tom cat was often seen hanging out near the butcher shop.
56,Par_A,DashedSentence,8,cond_A_cat,cat,204,A large tom cat was often seen hanging out near the butcher shop.
57,Par_A,DashedSentence,8,cond_A_cat,was,222,A large tom cat was often seen hanging out near the butcher shop.
58,Par_A,DashedSentence,8,cond_A_cat,often,172,A large tom cat was often seen hanging out near the butcher shop.
59,Par_A,DashedSentence,8,cond_A_cat,seen,117,A large tom cat was often seen hanging out near the butcher shop.
60,Par_A,DashedSentence,8,cond_A_cat,hanging,172,A large tom cat was often seen hanging out near the butcher shop.
61,Par_A,DashedSentence,8,cond_A_cat,out,200,A large tom cat was often seen hanging out near the butcher shop.
62,Par_A,DashedSentence,8,cond_A_cat,near,189,A large tom cat was often seen hanging out near the butcher shop.
63,Par_A,DashedSentence,8,cond_A_cat,the,220,A large tom cat was often seen hanging out near the butcher shop.
64,Par_A,DashedSentence,8,cond_A_cat,butcher,172,A large tom cat was often seen hanging out near the butcher shop.
65,Par_A,DashedSentence,8,cond_A_cat,shop,211,A large tom cat was often seen hanging out near the butcher shop.
66,Par_B,DashedSentence,4,cond_A_cat,Mary,172,Mary saw a beautiful Siamese cat on her way home from work.
67,Par_B,DashedSentence,4,cond_A_cat,saw,128,Mary saw a beautiful Siamese cat on her way home from work.
68,Par_B,DashedSentence,4,cond_A_cat,a,165,Mary saw a beautiful Siamese cat on her way home from work.
69,Par_B,DashedSentence,4,cond_A_cat,beautiful,172,Mary saw a beautiful Siamese cat on her way home from work.
70,Par_B,DashedSentence,4,cond_A_cat,Siamese,172,Mary saw a beautiful Siamese cat on her way home from work.
71,Par_B,DashedSentence,4,cond_A_cat,cat,96,Mary saw a beautiful Siamese cat on her way home from work.
72,Par_B,DashedSentence,4,cond_A_cat,on,106,Mary saw a beautiful Siamese cat on her way home from work.
73,Par_B,DashedSentence,4,cond_A_cat,her,172,Mary saw a beautiful Siamese cat on her way home from work.
74,Par_B,DashedSentence,4,cond_A_cat,way,160,Mary saw a beautiful Siamese cat on her way home from work.
75,Par_B,DashedSentence,4,cond_A_cat,home,172,Mary saw a beautiful Siamese cat on her way home from work.
76,Par_B,DashedSentence,4,cond_A_cat,from,100,Mary saw a beautiful Siamese cat on her way home from work.
77,Par_B,DashedSentence,4,cond_A_cat,work,172,Mary saw a beautiful Siamese cat on her way home from work.
78,Par_B,DashedSentence,5,cond_A_cat,Joshua,172,Joshua said that purring cats are one of the most relaxing things to him.
79,Par_B,DashedSentence,5,cond_A_cat,said,142,Joshua said that purring cats are one of the most relaxing things to him.
80,Par_B,DashedSentence,5,cond_A_cat,that,121,Joshua said that purring cats are one of the most relaxing things to him.
81,Par_B,DashedSentence,5,cond_A_cat,purring,172,Joshua said that purring cats are one of the most relaxing things to him.
82,Par_B,DashedSentence,5,cond_A_cat,cats,172,Joshua said that purring cats are one of the most relaxing things to him.
83,Par_B,DashedSentence,5,cond_A_cat,are,172,Joshua said that purring cats are one of the most relaxing things to him.
84,Par_B,DashedSentence,5,cond_A_cat,one,130,Joshua said that purring cats are one of the most relaxing things to him.
85,Par_B,DashedSentence,5,cond_A_cat,of,103,Joshua said that purring cats are one of the most relaxing things to him.
86,Par_B,DashedSentence,5,cond_A_cat,the,172,Joshua said that purring cats are one of the most relaxing things to him.
87,Par_B,DashedSentence,5,cond_A_cat,most,127,Joshua said that purring cats are one of the most relaxing things to him.
88,Par_B,DashedSentence,5,cond_A_cat,relaxing,172,Joshua said that purring cats are one of the most relaxing things to him.
89,Par_B,DashedSentence,5,cond_A_cat,things,172,Joshua said that purring cats are one of the most relaxing things to him.
90,Par_B,DashedSentence,5,cond_A_cat,to,125,Joshua said that purring cats are one of the most relaxing things to him.
91,Par_B,DashedSentence,5,cond_A_cat,him,136,Joshua said that purring cats are one of the most relaxing things to him.
92,Par_B,DashedSentence,6,cond_A_cat,There,172,There was a contented cat looking out from the bookstore window.
93,Par_B,DashedSentence,6,cond_A_cat,was,106,There was a contented cat looking out from the bookstore window.
94,Par_B,DashedSentence,6,cond_A_cat,a,134,There was a contented cat looking out from the bookstore window.
95,Par_B,DashedSentence,6,cond_A_cat,contented,172,There was a contented cat looking out from the bookstore window.
96,Par_B,DashedSentence,6,cond_A_cat,cat,104,There was a contented cat looking out from the bookstore window.
97,Par_B,DashedSentence,6,cond_A_cat,looking,172,There was a contented cat looking out from the bookstore window.
98,Par_B,DashedSentence,6,cond_A_cat,out,172,There was a contented cat looking out from the bookstore window.
99,Par_B,DashedSentence,6,cond_A_cat,from,172,There was a contented cat looking out from the bookstore window.
100,Par_B,DashedSentence,6,cond_A_cat,the,172,There was a contented cat looking out from the bookstore window.
101,Par_B,DashedSentence,6,cond_A_cat,bookstore,172,There was a contented cat looking out from the bookstore window.
102,Par_B,DashedSentence,6,cond_A_cat,window,172,There was a contented cat looking out from the bookstore window.
103,Par_B,DashedSentence,7,cond_A_cat,The,103,The child told me that ginger cats are by far the cutest of them all.
104,Par_B,DashedSentence,7,cond_A_cat,child,172,The child told me that ginger cats are by far the cutest of them all.
105,Par_B,DashedSentence,7,cond_A_cat,told,172,The child told me that ginger cats are by far the cutest of them all.
106,Par_B,DashedSentence,7,cond_A_cat,me,110,The child told me that ginger cats are by far the cutest of them all.
107,Par_B,DashedSentence,7,cond_A_cat,that,104,The child told me that ginger cats are by far the cutest of them all.
108,Par_B,DashedSentence,7,cond_A_cat,ginger,172,The child told me that ginger cats are by far the cutest of them all.
109,Par_B,DashedSentence,7,cond_A_cat,cats,172,The child told me that ginger cats are by far the cutest of them all.
110,Par_B,DashedSentence,7,cond_A_cat,are,129,The child told me that ginger cats are by far the cutest of them all.
111,Par_B,DashedSentence,7,cond_A_cat,by,125,The child told me that ginger cats are by far the cutest of them all.
112,Par_B,DashedSentence,7,cond_A_cat,far,104,The child told me that ginger cats are by far the cutest of them all.
113,Par_B,DashedSentence,7,cond_A_cat,the,172,The child told me that ginger cats are by far the cutest of them all.
114,Par_B,DashedSentence,7,cond_A_cat,cutest,172,The child told me that ginger cats are by far the cutest of them all.
115,Par_B,DashedSentence,7,cond_A_cat,of,172,The child told me that ginger cats are by far the cutest of them all.
116,Par_B,DashedSentence,7,cond_A_cat,them,167,The child told me that ginger cats are by far the cutest of them all.
117,Par_B,DashedSentence,7,cond_A_cat,all,124,The child told me that ginger cats are by far the cutest of them all.
118,Par_B,DashedSentence,8,cond_A_cat,A,157,A large tom cat was often seen hanging out near the butcher shop.
119,Par_B,DashedSentence,8,cond_A_cat,large,172,A large tom cat was often seen hanging out near the butcher shop.
120,Par_B,DashedSentence,8,cond_A_cat,tom,432,A large tom cat was often seen hanging out near the butcher shop.
121,Par_B,DashedSentence,8,cond_A_cat,cat,570,A large tom cat was often seen hanging out near the butcher shop.
122,Par_B,DashedSentence,8,cond_A_cat,was,512,A large tom cat was often seen hanging out near the butcher shop.
123,Par_B,DashedSentence,8,cond_A_cat,often,135,A large tom cat was often seen hanging out near the butcher shop.
124,Par_B,DashedSentence,8,cond_A_cat,seen,414,A large tom cat was often seen hanging out near the butcher shop.
125,Par_B,DashedSentence,8,cond_A_cat,hanging,357,A large tom cat was often seen hanging out near the butcher shop.
126,Par_B,DashedSentence,8,cond_A_cat,out,555,A large tom cat was often seen hanging out near the butcher shop.
127,Par_B,DashedSentence,8,cond_A_cat,near,588,A large tom cat was often seen hanging out near the butcher shop.
128,Par_B,DashedSentence,8,cond_A_cat,the,545,A large tom cat was often seen hanging out near the butcher shop.
129,Par_B,DashedSentence,8,cond_A_cat,butcher,284,A large tom cat was often seen hanging out near the butcher shop.
130,Par_B,DashedSentence,8,cond_A_cat,shop,661,A large tom cat was often seen hanging out near the butcher shop.
131,Par_C,DashedSentence,4,cond_A_cat,Mary,416,Mary saw a beautiful Siamese cat on her way home from work.
132,Par_C,DashedSentence,4,cond_A_cat,saw,458,Mary saw a beautiful Siamese cat on her way home from work.
133,Par_C,DashedSentence,4,cond_A_cat,a,440,Mary saw a beautiful Siamese cat on her way home from work.
134,Par_C,DashedSentence,4,cond_A_cat,beautiful,172,Mary saw a beautiful Siamese cat on her way home from work.
135,Par_C,DashedSentence,4,cond_A_cat,Siamese,157,Mary saw a beautiful Siamese cat on her way home from work.
136,Par_C,DashedSentence,4,cond_A_cat,cat,407,Mary saw a beautiful Siamese cat on her way home from work.
137,Par_C,DashedSentence,4,cond_A_cat,on,448,Mary saw a beautiful Siamese cat on her way home from work.
138,Par_C,DashedSentence,4,cond_A_cat,her,411,Mary saw a beautiful Siamese cat on her way home from work.
139,Par_C,DashedSentence,4,cond_A_cat,way,433,Mary saw a beautiful Siamese cat on her way home from work.
140,Par_C,DashedSentence,4,cond_A_cat,home,415,Mary saw a beautiful Siamese cat on her way home from work.
141,Par_C,DashedSentence,4,cond_A_cat,from,382,Mary saw a beautiful Siamese cat on her way home from work.
142,Par_C,DashedSentence,4,cond_A_cat,work,469,Mary saw a beautiful Siamese cat on her way home from work.
143,Par_C,DashedSentence,5,cond_A_cat,Joshua,172,Joshua said that purring cats are one of the most relaxing things to him.
144,Par_C,DashedSentence,5,cond_A_cat,said,378,Joshua said that purring cats are one of the most relaxing things to him.
145,Par_C,DashedSentence,5,cond_A_cat,that,453,Joshua said that purring cats are one of the most relaxing things to him.
146,Par_C,DashedSentence,5,cond_A_cat,purring,172,Joshua said that purring cats are one of the most relaxing things to him.
147,Par_C,DashedSentence,5,cond_A_cat,cats,420,Joshua said that purring cats are one of the most relaxing things to him.
148,Par_C,DashedSentence,5,cond_A_cat,are,448,Joshua said that purring cats are one of the most relaxing things to him.
149,Par_C,DashedSentence,5,cond_A_cat,one,426,Joshua said that purring cats are one of the most relaxing things to him.
150,Par_C,DashedSentence,5,cond_A_cat,of,509,Joshua said that purring cats are one of the most relaxing things to him.
151,Par_C,DashedSentence,5,cond_A_cat,the,394,Joshua said that purring cats are one of the most relaxing things to him.
152,Par_C,DashedSentence,5,cond_A_cat,most,415,Joshua said that purring cats are one of the most relaxing things to him.
153,Par_C,DashedSentence,5,cond_A_cat,relaxing,172,Joshua said that purring cats are one of the most relaxing things to him.
154,Par_C,DashedSentence,5,cond_A_cat,things,171,Joshua said that purring cats are one of the most relaxing things to him.
155,Par_C,DashedSentence,5,cond_A_cat,to,380,Joshua said that purring cats are one of the most relaxing things to him.
156,Par_C,DashedSentence,5,cond_A_cat,him,392,Joshua said that purring cats are one of the most relaxing things to him.
157,Par_C,DashedSentence,6,cond_A_cat,There,96,There was a contented cat looking out from the bookstore window.
158,Par_C,DashedSentence,6,cond_A_cat,was,470,There was a contented cat looking out from the bookstore window.
159,Par_C,DashedSentence,6,cond_A_cat,a,370,There was a contented cat looking out from the bookstore window.
160,Par_C,DashedSentence,6,cond_A_cat,contented,107,There was a contented cat looking out from the bookstore window.
161,Par_C,DashedSentence,6,cond_A_cat,cat,474,There was a contented cat looking out from the bookstore window.
162,Par_C,DashedSentence,6,cond_A_cat,looking,148,There was a contented cat looking out from the bookstore window.
163,Par_C,DashedSentence,6,cond_A_cat,out,438,There was a contented cat looking out from the bookstore window.
164,Par_C,DashedSentence,6,cond_A_cat,from,481,There was a contented cat looking out from the bookstore window.
165,Par_C,DashedSentence,6,cond_A_cat,the,411,There was a contented cat looking out from the bookstore window.
166,Par_C,DashedSentence,6,cond_A_cat,bookstore,172,There was a contented cat looking out from the bookstore window.
167,Par_C,DashedSentence,6,cond_A_cat,window,172,There was a contented cat looking out from the bookstore window.
168,Par_C,DashedSentence,7,cond_A_cat,The,535,The child told me that ginger cats are by far the cutest of them all.
169,Par_C,DashedSentence,7,cond_A_cat,child,273,The child told me that ginger cats are by far the cutest of them all.
170,Par_C,DashedSentence,7,cond_A_cat,told,540,The child told me that ginger cats are by far the cutest of them all.
171,Par_C,DashedSentence,7,cond_A_cat,me,473,The child told me that ginger cats are by far the cutest of them all.
172,Par_C,DashedSentence,7,cond_A_cat,that,425,The child told me that ginger cats are by far the cutest of them all.
173,Par_C,DashedSentence,7,cond_A_cat,ginger,103,The child told me that ginger cats are by far the cutest of them all.
174,Par_C,DashedSentence,7,cond_A_cat,cats,475,The child told me that ginger cats are by far the cutest of them all.
175,Par_C,DashedSentence,7,cond_A_cat,are,377,The child told me that ginger cats are by far the cutest of them all.
176,Par_C,DashedSentence,7,cond_A_cat,by,479,The child told me that ginger cats are by far the cutest of them all.
177,Par_C,DashedSentence,7,cond_A_cat,far,450,The child told me that ginger cats are by far the cutest of them all.
178,Par_C,DashedSentence,7,cond_A_cat,the,510,The child told me that ginger cats are by far the cutest of them all.
179,Par_C,DashedSentence,7,cond_A_cat,cutest,104,The child told me that ginger cats are by far the cutest of them all.
180,Par_C,DashedSentence,7,cond_A_cat,of,443,The child told me that ginger cats are by far the cutest of them all.
181,Par_C,DashedSentence,7,cond_A_cat,them,375,The child told me that ginger cats are by far the cutest of them all.
182,Par_C,DashedSentence,7,cond_A_cat,all,372,The child told me that ginger cats are by far the cutest of them all.
183,Par_C,DashedSentence,8,cond_A_cat,A,444,A large tom cat was often seen hanging out near the butcher shop.
184,Par_C,DashedSentence,8,cond_A_cat,large,348,A large tom cat was often seen hanging out near the butcher shop.
185,Par_C,DashedSentence,8,cond_A_cat,tom,623,A large tom cat was often seen hanging out near the butcher shop.
186,Par_C,DashedSentence,8,cond_A_cat,cat,513,A large tom cat was often seen hanging out near the butcher shop.
187,Par_C,DashedSentence,8,cond_A_cat,was,708,A large tom cat was often seen hanging out near the butcher shop.
188,Par_C,DashedSentence,8,cond_A_cat,often,268,A large tom cat was often seen hanging out near the butcher shop.
189,Par_C,DashedSentence,8,cond_A_cat,seen,573,A large tom cat was often seen hanging out near the butcher shop.
190,Par_C,DashedSentence,8,cond_A_cat,hanging,258,A large tom cat was often seen hanging out near the butcher shop.
191,Par_C,DashedSentence,8,cond_A_cat,out,408,A large tom cat was often seen hanging out near the butcher shop.
192,Par_C,DashedSentence,8,cond_A_cat,near,552,A large tom cat was often seen hanging out near the butcher shop.
193,Par_C,DashedSentence,8,cond_A_cat,the,679,A large tom cat was often seen hanging out near the butcher shop.
194,Par_C,DashedSentence,8,cond_A_cat,butcher,179,A large tom cat was often seen hanging out near the butcher shop.
195,Par_C,DashedSentence,8,cond_A_cat,shop,580,A large tom cat was often seen hanging out near the butcher shop.
196,Par_D,DashedSentence,4,cond_A_cat,Mary,470,Mary saw a beautiful Siamese cat on her way home from work.
197,Par_D,DashedSentence,4,cond_A_cat,saw,615,Mary saw a beautiful Siamese cat on her way home from work.
198,Par_D,DashedSentence,4,cond_A_cat,a,700,Mary saw a beautiful Siamese cat on her way home from work.
199,Par_D,DashedSentence,4,cond_A_cat,beautiful,315,Mary saw a beautiful Siamese cat on her way home from work.
200,Par_D,DashedSentence,4,cond_A_cat,Siamese,407,Mary saw a beautiful Siamese cat on her way home from work.
201,Par_D,DashedSentence,4,cond_A_cat,cat,672,Mary saw a beautiful Siamese cat on her way home from work.
202,Par_D,DashedSentence,4,cond_A_cat,on,492,Mary saw a beautiful Siamese cat on her way home from work.
203,Par_D,DashedSentence,4,cond_A_cat,her,547,Mary saw a beautiful Siamese cat on her way home from work.
204,Par_D,DashedSentence,4,cond_A_cat,way,596,Mary saw a beautiful Siamese cat on her way home from work.
205,Par_D,DashedSentence,4,cond_A_cat,home,567,Mary saw a beautiful Siamese cat on her way home from work.
206,Par_D,DashedSentence,4,cond_A_cat,from,630,Mary saw a beautiful Siamese cat on her way home from work.
207,Par_D,DashedSentence,4,cond_A_cat,work,539,Mary saw a beautiful Siamese cat on her way home from work.
208,Par_D,DashedSentence,5,cond_A_cat,Joshua,391,Joshua said that purring cats are one of the most relaxing things to him.
209,Par_D,DashedSentence,5,cond_A_cat,said,641,Joshua said that purring cats are one of the most relaxing things to him.
210,Par_D,DashedSentence,5,cond_A_cat,that,570,Joshua said that purring cats are one of the most relaxing things to him.
211,Par_D,DashedSentence,5,cond_A_cat,purring,493,Joshua said that purring cats are one of the most relaxing things to him.
212,Par_D,DashedSentence,5,cond_A_cat,cats,679,Joshua said that purring cats are one of the most relaxing things to him.
213,Par_D,DashedSentence,5,cond_A_cat,are,642,Joshua said that purring cats are one of the most relaxing things to him.
214,Par_D,DashedSentence,5,cond_A_cat,one,765,Joshua said that purring cats are one of the most relaxing things to him.
215,Par_D,DashedSentence,5,cond_A_cat,of,772,Joshua said that purring cats are one of the most relaxing things to him.
216,Par_D,DashedSentence,5,cond_A_cat,the,653,Joshua said that purring cats are one of the most relaxing things to him.
217,Par_D,DashedSentence,5,cond_A_cat,most,598,Joshua said that purring cats are one of the most relaxing things to him.
218,Par_D,DashedSentence,5,cond_A_cat,relaxing,296,Joshua said that purring cats are one of the most relaxing things to him.
219,Par_D,DashedSentence,5,cond_A_cat,things,240,Joshua said that purring cats are one of the most relaxing things to him.
220,Par_D,DashedSentence,5,cond_A_cat,to,581,Joshua said that purring cats are one of the most relaxing things to him.
221,Par_D,DashedSentence,5,cond_A_cat,him,656,Joshua said that purring cats are one of the most relaxing things to him.
222,Par_D,DashedSentence,6,cond_A_cat,There,536,There was a contented cat looking out from the bookstore window.
223,Par_D,DashedSentence,6,cond_A_cat,was,637,There was a contented cat looking out from the bookstore window.
224,Par_D,DashedSentence,6,cond_A_cat,a,703,There was a contented cat looking out from the bookstore window.
225,Par_D,DashedSentence,6,cond_A_cat,contented,557,There was a contented cat looking out from the bookstore window.
226,Par_D,DashedSentence,6,cond_A_cat,cat,616,There was a contented cat looking out from the bookstore window.
227,Par_D,DashedSentence,6,cond_A_cat,looking,518,There was a contented cat looking out from the bookstore window.
228,Par_D,DashedSentence,6,cond_A_cat,out,696,There was a contented cat looking out from the bookstore window.
229,Par_D,DashedSentence,6,cond_A_cat,from,647,There was a contented cat looking out from the bookstore window.
230,Par_D,DashedSentence,6,cond_A_cat,the,691,There was a contented cat looking out from the bookstore window.
231,Par_D,DashedSentence,6,cond_A_cat,bookstore,131,There was a contented cat looking out from the bookstore window.
232,Par_D,DashedSentence,6,cond_A_cat,window,149,There was a contented cat looking out from the bookstore window.
233,Par_D,DashedSentence,7,cond_A_cat,The,853,The child told me that ginger cats are by far the cutest of them all.
234,Par_D,DashedSentence,7,cond_A_cat,child,338,The child told me that ginger cats are by far the cutest of them all.
235,Par_D,DashedSentence,7,cond_A_cat,told,754,The child told me that ginger cats are by far the cutest of them all.
236,Par_D,DashedSentence,7,cond_A_cat,me,676,The child told me that ginger cats are by far the cutest of them all.
237,Par_D,DashedSentence,7,cond_A_cat,that,641,The child told me that ginger cats are by far the cutest of them all.
238,Par_D,DashedSentence,7,cond_A_cat,ginger,315,The child told me that ginger cats are by far the cutest of them all.
239,Par_D,DashedSentence,7,cond_A_cat,cats,444,The child told me that ginger cats are by far the cutest of them all.
240,Par_D,DashedSentence,7,cond_A_cat,are,625,The child told me that ginger cats are by far the cutest of them all.
241,Par_D,DashedSentence,7,cond_A_cat,by,857,The child told me that ginger cats are by far the cutest of them all.
242,Par_D,DashedSentence,7,cond_A_cat,far,766,The child told me that ginger cats are by far the cutest of them all.
243,Par_D,DashedSentence,7,cond_A_cat,the,420,The child told me that ginger cats are by far the cutest of them all.
244,Par_D,DashedSentence,7,cond_A_cat,cutest,433,The child told me that ginger cats are by far the cutest of them all.
245,Par_D,DashedSentence,7,cond_A_cat,of,765,The child told me that ginger cats are by far the cutest of them all.
246,Par_D,DashedSentence,7,cond_A_cat,them,481,The child told me that ginger cats are by far the cutest of them all.
247,Par_D,DashedSentence,7,cond_A_cat,all,778,The child told me that ginger cats are by far the cutest of them all.
248,Par_D,DashedSentence,8,cond_A_cat,A,554,A large tom cat was often seen hanging out near the butcher shop.
249,Par_D,DashedSentence,8,cond_A_cat,large,110,A large tom cat was often seen hanging out near the butcher shop.
250,Par_D,DashedSentence,8,cond_A_cat,tom,679,A large tom cat was often seen hanging out near the butcher shop.
251,Par_D,DashedSentence,8,cond_A_cat,cat,671,A large tom cat was often seen hanging out near the butcher shop.
252,Par_D,DashedSentence,8,cond_A_cat,was,593,A large tom cat was often seen hanging out near the butcher shop.
253,Par_D,DashedSentence,8,cond_A_cat,often,342,A large tom cat was often seen hanging out near the butcher shop.
254,Par_D,DashedSentence,8,cond_A_cat,seen,717,A large tom cat was often seen hanging out near the butcher shop.
255,Par_D,DashedSentence,8,cond_A_cat,hanging,496,A large tom cat was often seen hanging out near the butcher shop.
256,Par_D,DashedSentence,8,cond_A_cat,out,774,A large tom cat was often seen hanging out near the butcher shop.
257,Par_D,DashedSentence,8,cond_A_cat,near,833,A large tom cat was often seen hanging out near the butcher shop.
258,Par_D,DashedSentence,8,cond_A_cat,the,666,A large tom cat was often seen hanging out near the butcher shop.
259,Par_D,DashedSentence,8,cond_A_cat,butcher,471,A large tom cat was often seen hanging out near the butcher shop.
260,Par_D,DashedSentence,8,cond_A_cat,shop,873,A large tom cat was often seen hanging out near the butcher shop.
261,Par_E,DashedSentence,4,cond_A_cat,Mary,758,Mary saw a beautiful Siamese cat on her way home from work.
262,Par_E,DashedSentence,4,cond_A_cat,saw,893,Mary saw a beautiful Siamese cat on her way home from work.
263,Par_E,DashedSentence,4,cond_A_cat,a,817,Mary saw a beautiful Siamese cat on her way home from work.
264,Par_E,DashedSentence,4,cond_A_cat,beautiful,589,Mary saw a beautiful Siamese cat on her way home from work.
265,Par_E,DashedSentence,4,cond_A_cat,Siamese,487,Mary saw a beautiful Siamese cat on her way home from work.
266,Par_E,DashedSentence,4,cond_A_cat,cat,758,Mary saw a beautiful Siamese cat on her way home from work.
267,Par_E,DashedSentence,4,cond_A_cat,on,909,Mary saw a beautiful Siamese cat on her way home from work.
